,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
202,196,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,28-025,1996,19.8,2,39,13,33.3,1.97,0.66,0.05,0.15,19.5,0,0,0,2.8,2.8,0.07,-0.8,-0.8,Matches
203,197,Muhamad Bamba,ci CIV,FW,Lorient,fr Ligue 1,22-132,2001,8.7,6,27,14,51.9,3.10,1.61,0.22,0.43,,,0,0,,,,,,Matches
204,198,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,20-067,2004,0.5,0,2,0,0.0,3.83,0.00,0.00,,12.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
205,199,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,23-082,2001,15.0,2,50,23,46.0,3.33,1.53,0.04,0.09,19.8,1,0,0,3.6,3.6,0.07,-1.6,-1.6,Matches
206,200,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24-009,2000,3.6,0,2,0,0.0,0.55,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
207,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
208,201,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22-310,2001,1.1,0,3,0,0.0,2.67,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
209,202,Mattia Bani,it ITA,DF,Genoa,it Serie A,30-132,1993,25.6,2,9,5,55.6,0.35,0.20,0.22,0.40,9.1,0,0,0,1.2,1.2,0.14,+0.8,+0.8,Matches
210,203,Léo Baptistão,br BRA,FW,Almería,es La Liga,31-238,1992,15.6,5,38,14,36.8,2.44,0.90,0.13,0.36,17.1,0,0,0,4.5,4.5,0.12,+0.5,+0.5,Matches
211,204,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,26-012,1998,2.5,1,2,2,100.0,0.79,0.79,0.50,0.50,6.6,0,0,0,0.9,0.9,0.45,+0.1,+0.1,Matches
212,205,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29-139,1994,4.0,1,10,4,40.0,2.51,1.00,0.10,0.25,20.0,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
213,206,Francisco Barbosa,es ESP,GK,Betis,es La Liga,24-349,1999,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
214,207,Valentín Barco,ar ARG,DF,Brighton,eng Premier League,19-272,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
