,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
708,682,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24-261,1999,13.6,5,31,13,41.9,2.29,0.96,0.16,0.38,15.5,0,0,0,5.0,5.0,0.16,0.0,0.0,Matches
709,683,Luis Díaz,co COL,FW,Liverpool,eng Premier League,27-098,1997,24.1,8,81,27,33.3,3.36,1.12,0.10,0.30,15.3,0,0,0,10.5,10.5,0.13,-2.5,-2.5,Matches
710,684,Víctor Díaz,es ESP,"DF,MF",Granada,es La Liga,35-313,1988,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
711,685,Famara Diedhiou,sn SEN,"FW,MF",Granada,es La Liga,31-127,1992,1.0,0,5,3,60.0,5.06,3.03,0.00,0.00,18.1,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
712,686,Justin Diehl,de GER,"FW,MF",Köln,de Bundesliga,19-145,2004,1.8,0,7,2,28.6,3.91,1.12,0.00,0.00,23.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
713,687,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,24-028,2000,5.4,2,13,5,38.5,2.41,0.93,0.15,0.40,18.6,2,0,0,1.9,1.9,0.15,+0.1,+0.1,Matches
714,688,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,30-096,1994,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
715,689,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30-096,1994,9.5,0,7,2,28.6,0.74,0.21,0.00,0.00,10.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
716,690,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,23-003,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
717,691,Florian Dietz,de GER,"FW,DF",Köln,de Bundesliga,25-261,1998,0.6,0,1,0,0.0,1.64,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
718,692,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,30-275,1993,21.8,1,18,4,22.2,0.83,0.18,0.06,0.25,19.9,6,0,0,1.0,1.0,0.05,0.0,0.0,Matches
719,693,Federico Dimarco,it ITA,DF,Inter,it Serie A,26-162,1997,20.0,5,44,16,36.4,2.20,0.80,0.11,0.31,20.6,3,0,0,2.6,2.4,0.05,+2.4,+2.6,Matches
720,694,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,30-117,1993,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
721,695,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,23-151,2000,19.3,4,45,14,31.1,2.34,0.73,0.09,0.29,15.4,0,0,0,4.1,4.1,0.09,-0.1,-0.1,Matches
722,696,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,22-129,2001,25.2,8,40,16,40.0,1.59,0.63,0.20,0.50,20.5,0,0,0,3.3,3.3,0.08,+4.7,+4.7,Matches
723,697,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,23-011,2001,9.9,0,6,1,16.7,0.61,0.10,0.00,0.00,11.1,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
724,698,Edan Diop,fr FRA,"MF,DF",Monaco,fr Ligue 1,19-236,2004,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
725,699,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27-102,1997,12.8,0,4,1,25.0,0.31,0.08,0.00,0.00,15.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
726,700,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23-316,2000,5.5,0,14,6,42.9,2.53,1.08,0.00,0.00,20.7,2,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
727,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
728,701,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20-339,2003,14.4,1,26,8,30.8,1.80,0.55,0.04,0.13,23.7,1,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
729,702,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,24-156,1999,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
730,703,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26-040,1998,27.6,2,15,4,26.7,0.54,0.15,0.13,0.50,10.8,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
731,704,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,20-073,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
732,705,Djené,tg TOG,"DF,MF",Getafe,es La Liga,32-111,1991,22.8,0,4,0,0.0,0.18,0.00,0.00,,28.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
733,706,Koffi Djidji,ci CIV,DF,Torino,it Serie A,31-142,1992,8.4,0,2,0,0.0,0.24,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
734,707,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31-061,1993,28.3,0,9,0,0.0,0.32,0.00,0.00,,11.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
735,708,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,32-087,1992,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
736,709,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,18-161,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
737,710,Ritsu Doan,jp JPN,"MF,DF",Freiburg,de Bundesliga,25-309,1998,20.0,5,28,15,53.6,1.40,0.75,0.18,0.33,15.8,0,0,0,4.0,4.0,0.14,+1.0,+1.0,Matches
738,711,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,21-108,2003,2.3,1,5,2,40.0,2.14,0.86,0.20,0.50,15.6,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
739,712,Dodô,br BRA,DF,Fiorentina,it Serie A,25-155,1998,3.8,0,1,1,100.0,0.26,0.26,0.00,0.00,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
740,713,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25-295,1998,19.0,2,11,2,18.2,0.58,0.11,0.18,1.00,9.6,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches
741,714,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,32-095,1992,9.3,1,7,2,28.6,0.76,0.22,0.14,0.50,11.0,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
742,715,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21-338,2002,9.2,0,5,1,20.0,0.54,0.11,0.00,0.00,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
743,716,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21-338,2002,9.6,0,6,1,16.7,0.62,0.10,0.00,0.00,19.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
744,717,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,21-329,2002,15.5,3,45,13,28.9,2.90,0.84,0.07,0.23,16.3,0,0,0,2.1,2.1,0.05,+0.9,+0.9,Matches
745,718,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21-329,2002,1.2,1,6,4,66.7,4.86,3.24,0.17,0.25,13.6,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
746,719,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23-069,2001,13.8,0,4,0,0.0,0.29,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
747,720,Mario Dominguez,es ESP,FW,Valencia,es La Liga,20-070,2004,0.3,0,3,1,33.3,10.80,3.60,0.00,0.00,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
748,721,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25-297,1998,15.7,2,22,6,27.3,1.40,0.38,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
749,722,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25-297,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
750,723,Giulio Donati,it ITA,DF,Monza,it Serie A,34-075,1990,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
751,724,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,19-108,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
752,725,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25-055,1999,22.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
753,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
754,726,Patrick Dorgu,dk DEN,"DF,FW",Lecce,it Serie A,19-177,2004,12.8,1,11,6,54.5,0.86,0.47,0.09,0.17,17.6,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
755,727,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26-096,1998,13.1,0,12,0,0.0,0.92,0.00,0.00,,24.4,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
756,728,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,25-190,1998,30.2,2,23,5,21.7,0.76,0.17,0.09,0.40,11.3,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
757,729,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,23-036,2001,7.7,0,4,0,0.0,0.52,0.00,0.00,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
758,730,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,31-110,1993,23.9,6,40,18,45.0,1.68,0.75,0.15,0.33,12.4,0,0,0,6.7,6.7,0.18,-0.7,-0.7,Matches
759,731,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24-103,2000,10.2,0,6,2,33.3,0.59,0.20,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
760,732,Siriné Doucouré,ml MLI,FW,Lorient,fr Ligue 1,22-012,2002,4.7,1,9,5,55.6,1.91,1.06,0.11,0.20,12.6,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
761,733,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,18-322,2005,13.4,4,28,9,32.1,2.08,0.67,0.14,0.44,19.4,0,0,0,1.6,1.6,0.06,+2.4,+2.4,Matches
762,734,Guela Doué,ci CIV,DF,Rennes,fr Ligue 1,21-186,2002,11.5,0,14,3,21.4,1.22,0.26,0.00,0.00,21.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
763,735,Alfie Doughty,eng ENG,DF,Luton Town,eng Premier League,24-121,1999,27.6,1,23,5,21.7,0.83,0.18,0.04,0.20,15.8,1,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
764,736,Douglas,br BRA,MF,Nantes,fr Ligue 1,27-098,1997,19.3,0,16,5,31.3,0.83,0.26,0.00,0.00,20.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
765,737,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20-271,2003,16.4,0,8,0,0.0,0.49,0.00,0.00,,26.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
766,738,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,21-062,2003,7.7,6,23,10,43.5,2.97,1.29,0.26,0.60,17.3,0,0,0,3.9,3.9,0.17,+2.1,+2.1,Matches
767,739,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24-262,1999,7.6,4,20,11,55.0,2.62,1.44,0.20,0.36,14.1,0,0,0,3.2,3.2,0.16,+0.8,+0.8,Matches
768,740,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,26-304,1997,22.2,17,63,29,46.0,2.84,1.31,0.21,0.45,12.1,1,4,4,16.3,13.2,0.21,+0.7,-0.2,Matches
769,741,Nikola Dovedan,at AUT,MF,Heidenheim,de Bundesliga,29-289,1994,6.2,1,10,3,30.0,1.60,0.48,0.10,0.33,19.5,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
770,742,Damion Downs,de GER,"FW,MF",Köln,de Bundesliga,19-289,2004,1.0,1,3,1,33.3,2.97,0.99,0.33,1.00,12.7,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
771,743,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22-186,2001,11.8,0,13,3,23.1,1.10,0.25,0.00,0.00,25.9,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
772,744,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,22-077,2002,2.6,0,1,0,0.0,0.39,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
773,745,Radu Drăgușin,ro ROU,DF,Genoa,it Serie A,22-077,2002,19.0,2,17,4,23.5,0.89,0.21,0.12,0.50,12.5,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
774,746,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,22-050,2002,5.9,2,17,6,35.3,2.88,1.02,0.12,0.33,12.3,0,0,0,2.9,2.9,0.17,-0.9,-0.9,Matches
775,747,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,19-045,2005,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
776,748,Domingos Duarte,pt POR,DF,Getafe,es La Liga,29-041,1995,10.1,0,1,0,0.0,0.10,0.00,0.00,,2.8,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
777,749,Rubén Duarte,es ESP,DF,Alavés,es La Liga,28-185,1995,17.0,2,14,5,35.7,0.83,0.29,0.14,0.40,23.5,2,0,0,0.6,0.6,0.05,+1.4,+1.4,Matches
778,750,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35-096,1989,17.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
779,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
780,751,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30-044,1994,25.1,9,53,25,47.2,2.11,0.99,0.11,0.24,19.4,12,3,4,9.0,5.7,0.11,0.0,+0.3,Matches
781,752,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29-137,1994,23.9,1,22,5,22.7,0.92,0.21,0.05,0.20,23.8,3,0,1,2.2,1.4,0.06,-1.2,-0.4,Matches
782,753,Denzel Dumfries,nl NED,DF,Inter,it Serie A,28-002,1996,16.6,3,19,4,21.1,1.15,0.24,0.16,0.75,12.0,0,0,0,2.0,2.0,0.11,+1.0,+1.0,Matches
783,754,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,32-207,1991,0.2,0,1,0,0.0,4.74,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
784,755,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,31-041,1993,17.4,2,20,5,25.0,1.15,0.29,0.10,0.40,23.3,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
785,756,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32-151,1991,27.4,3,31,11,35.5,1.13,0.40,0.10,0.27,13.7,4,0,0,3.0,3.0,0.10,0.0,0.0,Matches
786,757,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,20-129,2003,3.8,3,14,5,35.7,3.64,1.30,0.21,0.60,16.2,0,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
787,758,Julien Duranville,be BEL,MF,Dortmund,de Bundesliga,17-351,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
788,759,Hugo Duro,es ESP,FW,Valencia,es La Liga,24-162,1999,28.7,12,59,25,42.4,2.06,0.87,0.20,0.48,12.8,2,0,0,10.3,10.3,0.17,+1.7,+1.7,Matches
789,760,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,26-283,1997,13.9,0,4,1,25.0,0.29,0.07,0.00,0.00,20.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
790,761,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30-157,1993,17.6,12,40,15,37.5,2.28,0.85,0.15,0.40,21.1,3,6,6,8.9,4.2,0.10,+3.1,+1.8,Matches
791,762,Aron Dønnum,no NOR,"FW,MF",Toulouse,fr Ligue 1,26-000,1998,16.1,0,20,9,45.0,1.24,0.56,0.00,0.00,19.3,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
792,763,George Earthy,eng ENG,FW,West Ham,eng Premier League,19-228,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
793,764,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,19-248,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
794,765,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,21-262,2002,18.1,0,16,5,31.3,0.89,0.28,0.00,0.00,21.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
795,766,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,25-040,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
796,767,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,28-126,1995,12.2,0,5,1,20.0,0.41,0.08,0.00,0.00,15.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
797,768,Ederson,br BRA,GK,Manchester City,eng Premier League,30-247,1993,26.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
798,769,Éderson,br BRA,MF,Atalanta,it Serie A,24-288,1999,27.8,6,35,9,25.7,1.26,0.32,0.17,0.67,17.6,0,0,0,3.4,3.4,0.10,+2.6,+2.6,Matches
799,770,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,eng Premier League,26-095,1998,16.1,7,49,18,36.7,3.04,1.12,0.14,0.39,13.5,3,0,0,6.2,6.2,0.13,+0.8,+0.8,Matches
800,771,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,31-183,1992,5.4,0,3,1,33.3,0.56,0.19,0.00,0.00,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
801,772,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27-134,1996,27.4,1,35,6,17.1,1.28,0.22,0.03,0.17,20.4,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
802,773,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,21-244,2002,1.2,0,3,0,0.0,2.55,0.00,0.00,,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
803,774,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28-331,1995,5.5,0,11,3,27.3,2.00,0.55,0.00,0.00,19.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
804,775,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,25-182,1998,4.3,0,2,1,50.0,0.46,0.23,0.00,0.00,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
805,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
806,776,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21-305,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
807,777,Hugo Ekitike,fr FRA,"FW,MF",Eint Frankfurt,de Bundesliga,21-305,2002,4.3,1,14,5,35.7,3.23,1.15,0.07,0.20,12.2,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
808,778,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21-300,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
809,779,Caleb Ekuban,gh GHA,"FW,MF",Genoa,it Serie A,30-028,1994,10.2,3,25,10,40.0,2.45,0.98,0.12,0.30,14.9,0,0,0,2.7,2.7,0.11,+0.3,+0.3,Matches
810,780,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21-359,2002,23.9,5,51,21,41.2,2.13,0.88,0.10,0.24,15.8,0,0,0,6.5,6.5,0.13,-1.5,-1.5,Matches
811,781,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24-273,1999,8.5,1,13,6,46.2,1.53,0.70,0.08,0.17,16.7,0,0,1,2.3,1.5,0.11,-1.3,-0.5,Matches
812,782,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,21-016,2003,10.1,2,33,11,33.3,3.27,1.09,0.06,0.18,21.7,1,0,0,1.5,1.5,0.05,+0.5,+0.5,Matches
813,783,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,24-209,1999,3.8,2,6,6,100.0,1.59,1.59,0.33,0.33,19.1,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches
814,784,Elif Elmas,mk MKD,"MF,FW",RB Leipzig,de Bundesliga,24-209,1999,1.7,0,6,3,50.0,3.51,1.75,0.00,0.00,17.5,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
815,785,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31-284,1992,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
816,786,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,30-023,1994,5.5,0,5,2,40.0,0.91,0.37,0.00,0.00,12.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
817,787,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,27-203,1996,23.6,2,17,5,29.4,0.72,0.21,0.12,0.40,11.4,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
818,788,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31-349,1992,21.6,3,44,18,40.9,2.04,0.83,0.05,0.11,25.5,10,1,1,3.4,2.6,0.06,-0.4,-0.6,Matches
819,789,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21-077,2003,18.7,7,38,16,42.1,2.03,0.85,0.18,0.44,11.8,0,0,0,8.2,8.2,0.22,-1.2,-1.2,Matches
820,790,Emerson,br BRA,DF,Tottenham,eng Premier League,25-097,1999,11.1,1,5,3,60.0,0.45,0.27,0.20,0.33,21.4,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
821,791,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26-324,1997,21.7,11,54,24,44.4,2.49,1.11,0.20,0.46,11.7,0,0,0,7.3,7.3,0.14,+3.7,+3.7,Matches
822,792,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,20-088,2004,2.6,0,16,6,37.5,6.10,2.29,0.00,0.00,22.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
823,793,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,31-071,1993,14.4,1,9,2,22.2,0.62,0.14,0.11,0.50,21.5,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
824,794,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,20-225,2003,14.2,3,17,7,41.2,1.20,0.49,0.18,0.43,18.9,1,0,0,1.6,1.6,0.10,+1.4,+1.4,Matches
825,795,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,32-066,1992,9.9,1,9,4,44.4,0.91,0.41,0.11,0.25,21.5,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
826,796,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,26-087,1998,24.9,1,8,3,37.5,0.32,0.12,0.13,0.33,10.2,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
827,797,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,31-024,1993,13.7,0,8,1,12.5,0.59,0.07,0.00,0.00,19.1,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
828,798,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,28-206,1995,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
829,799,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,32-106,1992,24.9,0,16,5,31.3,0.64,0.20,0.00,0.00,22.2,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
830,800,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34-284,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
831,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
832,801,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,21-330,2002,10.1,0,5,0,0.0,0.50,0.00,0.00,,18.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
833,802,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21-330,2002,11.1,1,5,2,40.0,0.45,0.18,0.20,0.50,9.7,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
834,803,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,27-113,1996,2.9,0,6,1,16.7,2.08,0.35,0.00,0.00,15.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
835,804,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,26-090,1998,13.8,2,11,6,54.5,0.80,0.43,0.18,0.33,18.8,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches
836,805,Karl Etta,cm CMR,FW,Cádiz,es La Liga,20-110,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
837,806,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,36-108,1988,12.3,0,1,0,0.0,0.08,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
